Date,Open,High,Low,Close,Adj Close,Volume
2022-12-28,815.750000,817.000000,808.799988,810.349976,810.349976,3624974
2022-12-29,807.000000,822.500000,799.549988,819.549988,819.549988,5308353
2022-12-30,822.450012,826.750000,815.599976,818.099976,818.099976,3252956
2023-01-02,823.000000,826.750000,816.299988,822.299988,822.299988,2042294
2023-01-03,822.250000,826.400024,817.799988,820.450012,820.450012,2166531
2023-01-04,820.799988,822.000000,806.500000,810.000000,810.000000,3260112
2023-01-05,814.049988,821.599976,797.000000,819.599976,819.599976,3119740
2023-01-06,819.900024,824.400024,803.500000,806.099976,806.099976,2892006
2023-01-09,810.450012,820.250000,809.099976,816.650024,816.650024,2040072
2023-01-10,817.000000,820.650024,781.099976,796.400024,796.400024,4545808
2023-01-11,800.000000,803.099976,789.049988,796.450012,796.450012,3618663
2023-01-12,796.700012,799.450012,786.099976,792.950012,792.950012,2670641
2023-01-13,795.599976,800.250000,786.000000,794.650024,794.650024,4059998
2023-01-16,797.000000,797.500000,784.400024,787.049988,787.049988,3601251
2023-01-17,788.349976,791.450012,778.099976,784.750000,784.750000,2948618
2023-01-18,784.000000,795.849976,776.599976,786.500000,786.500000,5585785
2023-01-19,783.950012,783.950012,771.750000,776.049988,776.049988,5086667
2023-01-20,776.000000,786.599976,772.450012,774.450012,774.450012,3328697
2023-01-23,778.349976,778.349976,762.400024,769.049988,769.049988,4283589
2023-01-24,769.150024,774.000000,758.000000,761.200012,761.200012,3011438
2023-01-25,753.000000,756.900024,706.000000,713.150024,713.150024,17085455
2023-01-27,699.000000,699.849976,537.000000,596.950012,596.950012,64194046
2023-01-30,620.000000,656.599976,566.950012,597.000000,597.000000,58256575
2023-01-31,600.000000,626.900024,588.099976,612.650024,612.650024,33272489
2023-02-01,627.000000,629.000000,459.500000,495.149994,495.149994,46557720
2023-02-02,510.000000,534.000000,424.049988,462.450012,462.450012,115517458
2023-02-03,459.000000,507.000000,395.100006,498.850006,498.850006,89662866
2023-02-06,498.000000,548.700012,476.700012,545.450012,545.450012,38363919
2023-02-07,550.000000,598.450012,543.000000,553.150024,553.150024,46650736
2023-02-08,564.000000,605.000000,563.000000,599.250000,599.250000,31111885
2023-02-09,587.250000,589.000000,546.200012,582.299988,582.299988,22494005
2023-02-10,573.599976,599.900024,560.000000,583.950012,583.950012,12527188
2023-02-13,587.900024,596.099976,537.400024,553.700012,553.700012,19528545
2023-02-14,551.000000,581.250000,538.299988,565.099976,565.099976,17976429
2023-02-15,567.799988,578.849976,561.900024,569.049988,569.049988,9259895
2023-02-16,580.000000,590.799988,573.299988,577.200012,577.200012,9909820
2023-02-17,579.000000,586.000000,569.099976,578.650024,578.650024,8880620
2023-02-20,567.299988,581.650024,560.000000,579.700012,579.700012,9507162
2023-02-21,585.000000,593.799988,579.200012,583.200012,583.200012,7702230
2023-02-22,583.500000,583.549988,540.000000,547.099976,547.099976,10994235
2023-02-23,539.500000,558.150024,533.650024,551.849976,551.849976,10711597
2023-02-24,557.000000,565.900024,543.200012,558.900024,558.900024,8631548
2023-02-27,559.000000,571.950012,553.099976,562.000000,562.000000,8484384
2023-02-28,563.000000,614.450012,551.950012,592.450012,592.450012,25360275
2023-03-01,598.000000,616.000000,594.599976,602.099976,602.099976,18661166
2023-03-02,603.950012,625.000000,585.599976,622.900024,622.900024,21080489
2023-03-03,663.000000,704.000000,650.549988,684.650024,684.650024,42832968
2023-03-06,690.000000,722.750000,681.099976,690.750000,690.750000,37435406
2023-03-08,700.000000,715.000000,682.000000,712.049988,712.049988,20232587
2023-03-09,713.900024,716.599976,686.000000,697.250000,697.250000,17041388
2023-03-10,684.799988,701.750000,680.650024,697.799988,697.799988,12138642
2023-03-13,703.700012,710.549988,677.150024,681.200012,681.200012,9693337
2023-03-14,681.200012,684.549988,638.599976,654.500000,654.500000,18147337
2023-03-15,661.549988,687.849976,657.250000,679.349976,679.349976,15514873
2023-03-16,686.900024,692.349976,675.150024,679.599976,679.599976,12992236
2023-03-17,688.500000,691.750000,671.299988,680.349976,680.349976,7625895
2023-03-20,671.000000,677.750000,659.299988,666.750000,666.750000,5250369
2023-03-21,671.500000,674.400024,661.200012,664.799988,664.799988,5009130
